result,TeamID,TeamID:1,Goals,losses,Points,Goals:1,losses:1,Points:1
2,9826,9825,20,30,16,34,23,33
0,8455,8191,41,14,46,14,29,16
1,8668,8197,29,31,21,17,31,13
2,8466,8650,32,15,33,26,25,28
0,10003,10260,24,23,28,33,19,36
0,8456,10261,41,17,43,22,28,26
0,8667,10172,18,26,16,21,34,18
0,10252,10194,11,22,21,21,23,25
1,8472,8659,16,27,20,18,28,17
0,8586,8654,24,24,31,30,23,31
1,10261,10252,22,28,26,11,22,21
2,8197,8455,17,31,13,41,14,46
0,8654,9826,30,23,31,20,30,16
1,9825,8668,34,23,33,29,31,21
1,10194,8667,21,23,25,18,26,16
2,8650,8456,26,25,28,41,17,43
1,8659,8466,18,28,17,32,15,33
1,10260,8472,33,19,36,16,27,20
2,8191,10003,14,29,16,24,23,28
2,10172,8586,21,34,18,24,24,31
2,8667,10252,18,26,16,11,22,21
1,10260,8191,33,19,36,14,29,16
0,8455,8668,41,14,46,29,31,21
1,9825,8197,34,23,33,17,31,13
0,10194,8456,21,23,25,41,17,43
1,9826,10261,20,30,16,22,28,26
2,8472,10172,16,27,20,21,34,18
2,8659,10003,18,28,17,24,23,28
0,8650,8586,26,25,28,24,24,31
0,8466,8654,32,15,33,30,23,31
1,8456,9825,41,17,43,34,23,33
2,10003,8455,24,23,28,41,14,46
1,8191,9826,14,29,16,20,30,16
1,8654,8667,30,23,31,18,26,16
0,10252,8650,11,22,21,26,25,28
2,10172,10260,21,34,18,33,19,36
2,10261,8466,22,28,26,32,15,33
0,8197,10194,17,31,13,21,23,25
1,8586,8472,24,24,31,16,27,20
0,8668,8659,29,31,21,18,28,17
0,9825,10252,34,23,33,11,22,21
1,8472,8191,16,27,20,14,29,16
0,9826,8668,20,30,16,29,31,21
2,10260,8197,33,19,36,17,31,13
1,8455,8456,41,14,46,41,17,43
1,8667,10261,18,26,16,22,28,26
1,10194,10172,21,23,25,21,34,18
0,8466,10003,32,15,33,24,23,28
0,8659,8586,18,28,17,24,24,31
2,8650,8654,26,25,28,30,23,31
1,8586,9825,24,24,31,34,23,33
2,10252,8455,11,22,21,41,14,46
2,8197,9826,17,31,13,20,30,16
0,8456,8667,41,17,43,18,26,16
1,8668,8650,29,31,21,26,25,28
2,8654,10260,30,23,31,33,19,36
2,10172,8466,21,34,18,32,15,33
2,10261,10194,22,28,26,21,23,25
1,10003,8472,24,23,28,16,27,20
2,8191,8659,14,29,16,18,28,17
0,8456,10252,41,17,43,11,22,21
2,9825,8455,34,23,33,41,14,46
2,9826,8667,20,30,16,18,26,16
1,8191,8197,14,29,16,17,31,13
2,8659,8650,18,28,17,26,25,28
2,8668,10260,29,31,21,33,19,36
2,10194,8472,21,23,25,16,27,20
1,10261,10003,22,28,26,24,23,28
2,8466,8586,32,15,33,24,24,31
2,10172,8654,21,34,18,30,23,31
1,8667,9825,18,26,16,34,23,33
