result,TeamID,TeamID:1,Goals,losses,Points,Goals:1,losses:1,Points:1
0,10252,9825,18,25,20,37,18,42
2,8667,8455,22,23,23,35,19,40
0,8586,9826,22,24,34,12,28,16
2,10194,8650,18,29,21,44,23,36
2,10261,8456,29,24,33,54,21,41
1,8668,9850,31,18,37,16,32,19
0,9879,8472,19,41,16,15,32,14
0,10260,10003,32,22,34,24,25,21
0,8466,8659,26,20,27,22,27,18
2,8344,8654,15,30,18,18,28,15
0,8650,10252,44,23,36,18,25,20
2,8456,8344,54,21,41,15,30,18
1,8659,8668,22,27,18,31,18,37
0,9825,9879,37,18,42,19,41,16
2,9850,8667,16,32,19,22,23,23
1,8455,10260,35,19,40,32,22,34
1,8654,10261,18,28,15,29,24,33
1,8472,8466,15,32,14,26,20,27
2,9826,10194,12,28,16,18,29,21
2,10003,8586,24,25,21,22,24,34
2,8586,9825,22,24,34,37,18,42
1,8668,8344,31,18,37,15,30,18
2,10252,8455,18,25,20,35,19,40
2,8472,9826,15,32,14,12,28,16
2,10260,8650,32,22,34,44,23,36
2,8667,8456,22,23,23,54,21,41
2,9879,10261,19,41,16,29,24,33
2,8466,9850,26,20,27,16,32,19
0,10003,8659,24,25,21,22,27,18
0,10194,8654,18,29,21,18,28,15
0,10261,10252,29,24,33,18,25,20
2,8455,8668,35,19,40,31,18,37
1,8659,9879,22,27,18,19,41,16
1,8344,8667,15,30,18,22,23,23
2,9826,10260,12,28,16,32,22,34
1,8654,8466,18,28,15,26,20,27
1,8456,10194,54,21,41,18,29,21
0,9825,8472,37,18,42,15,32,14
1,8650,10003,44,23,36,24,25,21
2,9850,8586,16,32,19,22,24,34
2,10194,9825,18,29,21,37,18,42
0,8586,8344,22,24,34,15,30,18
2,9879,8455,19,41,16,35,19,40
0,10003,9826,24,25,21,12,28,16
0,8466,8650,26,20,27,44,23,36
2,10260,8456,32,22,34,54,21,41
0,8667,10261,22,23,23,29,24,33
0,10252,9850,18,25,20,16,32,19
2,8472,8659,15,32,14,22,27,18
0,8668,8654,31,18,37,18,28,15
2,8456,10252,54,21,41,18,25,20
2,10261,8668,29,24,33,31,18,37
0,8344,9879,15,30,18,19,41,16
2,8654,8667,18,28,15,22,23,23
0,8659,10260,22,27,18,32,22,34
2,9826,8466,12,28,16,26,20,27
0,9850,10194,16,32,19,18,29,21
0,8650,8472,44,23,36,15,32,14
0,9825,10003,37,18,42,24,25,21
1,8455,8586,35,19,40,22,24,34
0,10261,8344,29,24,33,15,30,18
2,10194,9879,18,29,21,19,41,16
1,10252,8667,18,25,20,22,23,23
2,9826,8650,12,28,16,44,23,36
2,8668,8456,31,18,37,54,21,41
0,8455,9850,35,19,40,16,32,19
2,10003,8466,24,25,21,26,20,27
0,10260,8472,32,22,34,15,32,14
0,8654,8586,18,28,15,22,24,34
1,9825,8659,37,18,42,22,27,18
2,9850,9825,16,32,19,37,18,42
0,8586,10252,22,24,34,18,25,20
2,8344,8455,15,30,18,35,19,40
0,9879,9826,19,41,16,12,28,16
2,8667,8668,22,23,23,31,18,37
1,8466,10260,26,20,27,32,22,34
1,8650,10261,44,23,36,29,24,33
1,8659,10194,22,27,18,18,29,21
2,8472,10003,15,32,14,24,25,21
0,8456,8654,54,21,41,18,28,15
0,8668,10252,31,18,37,18,25,20
2,8456,8455,54,21,41,35,19,40
0,9825,9826,37,18,42,12,28,16
2,8659,8650,22,27,18,44,23,36
2,10194,10260,18,29,21,32,22,34
1,8344,9850,15,30,18,16,32,19
2,9879,8466,19,41,16,26,20,27
2,10261,8472,29,24,33,15,32,14
2,8667,8586,22,23,23,22,24,34
1,8654,10003,18,28,15,24,25,21
2,8650,9825,44,23,36,37,18,42
2,10003,8344,24,25,21,15,30,18
1,8586,8668,22,24,34,31,18,37
0,10260,9879,32,22,34,19,41,16
2,8472,8667,15,32,14,22,23,23
2,9850,8456,16,32,19,54,21,41
2,8455,10261,35,19,40,29,24,33
1,8466,10194,26,20,27,18,29,21
2,9826,8659,12,28,16,22,27,18
1,10252,8654,18,25,20,18,28,15
2,8344,10252,15,30,18,18,25,20
1,8659,8455,22,27,18,35,19,40
1,8668,9826,31,18,37,12,28,16
2,9879,8650,19,41,16,44,23,36
2,9825,10260,37,18,42,32,22,34
2,8654,9850,18,28,15,16,32,19
2,8667,8466,22,23,23,26,20,27
2,8456,8472,54,21,41,15,32,14
1,10194,10003,18,29,21,24,25,21
0,10261,8586,29,24,33,22,24,34
2,8466,9825,26,20,27,37,18,42
1,10260,8344,32,22,34,15,30,18
1,8650,8668,44,23,36,31,18,37
0,10003,9879,24,25,21,19,41,16
0,9826,8667,12,28,16,22,23,23
2,8586,8456,22,24,34,54,21,41
2,9850,10261,16,32,19,29,24,33
2,8472,10194,15,32,14,18,29,21
1,10252,8659,18,25,20,22,27,18
0,8455,8654,35,19,40,18,28,15
1,8472,10252,15,32,14,18,25,20
0,9825,8344,37,18,42,15,30,18
2,8466,8455,26,20,27,35,19,40
2,10194,8668,18,29,21,31,18,37
2,8650,8667,44,23,36,22,23,23
2,10003,8456,24,25,21,54,21,41
2,8659,10261,22,27,18,29,24,33
2,9826,9850,12,28,16,16,32,19
1,10260,8586,32,22,34,22,24,34
2,9879,8654,19,41,16,18,28,15
2,8667,9825,22,23,23,37,18,42
2,9850,8650,16,32,19,44,23,36
0,8668,10260,31,18,37,32,22,34
0,10252,8466,18,25,20,26,20,27
1,8344,10194,15,30,18,18,29,21
0,8455,8472,35,19,40,15,32,14
2,10261,10003,29,24,33,24,25,21
0,8456,8659,54,21,41,22,27,18
0,8586,9879,22,24,34,19,41,16
2,8654,9826,18,28,15,12,28,16
1,8668,9825,31,18,37,37,18,42
2,8344,9826,15,30,18,12,28,16
2,10252,9879,18,25,20,19,41,16
2,8654,8650,18,28,15,44,23,36
0,10261,10260,29,24,33,32,22,34
1,8456,8466,54,21,41,26,20,27
2,8455,10194,35,19,40,18,29,21
0,8586,8472,22,24,34,15,32,14
1,8667,10003,22,23,23,24,25,21
0,9850,8659,16,32,19,22,27,18
0,10260,10252,32,22,34,18,25,20
2,8659,8344,22,27,18,15,30,18
2,9826,8455,12,28,16,35,19,40
2,9879,8668,19,41,16,31,18,37
1,10194,8667,18,29,21,22,23,23
2,9825,8456,37,18,42,54,21,41
1,8466,10261,26,20,27,29,24,33
1,10003,9850,24,25,21,16,32,19
0,8650,8586,44,23,36,22,24,34
1,8472,8654,15,32,14,18,28,15
1,8455,9825,35,19,40,37,18,42
0,10261,9826,29,24,33,12,28,16
0,8456,9879,54,21,41,19,41,16
2,8344,8650,15,30,18,44,23,36
2,8654,10260,18,28,15,32,22,34
0,8586,8466,22,24,34,26,20,27
2,10252,10194,18,25,20,18,29,21
1,9850,8472,16,32,19,15,32,14
0,8668,10003,31,18,37,24,25,21
1,8667,8659,22,23,23,22,27,18
0,9826,10252,12,28,16,18,25,20
0,8466,8344,26,20,27,15,30,18
2,10003,8455,24,25,21,35,19,40
0,8472,8668,15,32,14,31,18,37
0,10260,8667,32,22,34,22,23,23
2,8650,8456,44,23,36,54,21,41
2,10194,10261,18,29,21,29,24,33
0,9879,9850,19,41,16,16,32,19
1,8659,8586,22,27,18,22,24,34
0,9825,8654,37,18,42,18,28,15
1,10003,10252,24,25,21,18,25,20
1,8472,8344,15,32,14,15,30,18
2,8650,8455,44,23,36,35,19,40
2,8466,8668,26,20,27,31,18,37
2,9879,8667,19,41,16,22,23,23
2,9826,8456,12,28,16,54,21,41
0,9825,10261,37,18,42,29,24,33
0,10260,9850,32,22,34,16,32,19
2,10194,8586,18,29,21,22,24,34
1,8659,8654,22,27,18,18,28,15
2,8344,9825,15,30,18,37,18,42
1,9850,9826,16,32,19,12,28,16
2,8654,9879,18,28,15,19,41,16
2,8667,8650,22,23,23,44,23,36
0,8586,10260,22,24,34,32,22,34
0,8455,8466,35,19,40,26,20,27
1,8668,10194,31,18,37,18,29,21
0,10252,8472,18,25,20,15,32,14
0,8456,10003,54,21,41,24,25,21
2,10261,8659,29,24,33,22,27,18
0,9825,10252,37,18,42,18,25,20
0,8654,8344,18,28,15,15,30,18
2,9850,8668,16,32,19,31,18,37
0,8472,9879,15,32,14,19,41,16
0,8455,8667,35,19,40,22,23,23
2,10003,10260,24,25,21,32,22,34
0,8456,10261,54,21,41,29,24,33
2,8659,8466,22,27,18,26,20,27
0,8650,10194,44,23,36,18,29,21
2,9826,8586,12,28,16,22,24,34
2,9879,9825,19,41,16,37,18,42
2,10260,8455,32,22,34,35,19,40
2,10194,9826,18,29,21,12,28,16
1,10252,8650,18,25,20,44,23,36
2,8344,8456,15,30,18,54,21,41
2,8667,9850,22,23,23,16,32,19
1,8466,8472,26,20,27,15,32,14
0,8586,10003,22,24,34,24,25,21
1,8668,8659,31,18,37,22,27,18
0,10261,8654,29,24,33,18,28,15
2,8659,10252,22,27,18,18,25,20
2,8667,9826,22,23,23,12,28,16
2,8668,8650,31,18,37,44,23,36
2,8344,10260,15,30,18,32,22,34
1,10261,9850,29,24,33,16,32,19
1,9825,8466,37,18,42,26,20,27
2,10194,8472,18,29,21,15,32,14
2,9879,10003,19,41,16,24,25,21
1,8654,8455,18,28,15,35,19,40
0,8456,8586,54,21,41,22,24,34
2,9826,9825,12,28,16,37,18,42
2,9850,8344,16,32,19,15,30,18
2,10252,8668,18,25,20,31,18,37
0,8466,9879,26,20,27,19,41,16
1,8586,8667,22,24,34,22,23,23
0,8455,8456,35,19,40,54,21,41
