result,TeamID,TeamID:1,Goals,losses,Points,Goals:1,losses:1,Points:1
2,8658,10260,19,18,29,40,18,40
2,8650,8586,36,25,30,40,22,34
0,8528,10252,21,39,20,29,17,35
0,9825,8668,51,22,41,26,32,22
0,8654,8602,28,35,18,17,33,19
0,8456,8655,35,29,32,18,33,20
0,8472,8559,26,29,22,26,38,18
0,9879,8462,25,20,27,17,28,14
2,8191,10194,22,38,20,18,24,24
2,8667,8455,18,40,17,43,15,42
2,8559,9825,26,38,18,51,22,41
0,8455,8472,43,15,42,26,29,22
2,10252,8654,29,17,35,28,35,18
2,8655,9879,18,33,20,25,20,27
2,8462,8658,17,28,14,19,18,29
0,8586,8667,40,22,34,18,40,17
2,10260,8191,40,18,40,22,38,20
0,8602,8528,17,33,19,21,39,20
2,10194,8650,18,24,24,36,25,30
0,8668,8456,26,32,22,35,29,32
2,8462,9825,17,28,14,51,22,41
0,10252,8650,29,17,35,36,25,30
2,8655,8472,18,33,20,26,29,22
0,8586,8654,40,22,34,28,35,18
2,8602,8456,17,33,19,35,29,32
0,8455,9879,43,15,42,25,20,27
1,10194,8658,18,24,24,19,18,29
2,8559,8667,26,38,18,18,40,17
2,8668,8191,26,32,22,22,38,20
0,10260,8528,40,18,40,21,39,20
2,9825,10260,51,22,41,40,18,40
2,8658,8586,19,18,29,40,22,34
2,9879,10252,25,20,27,29,17,35
2,8528,8668,21,39,20,26,32,22
1,8667,8602,18,40,17,17,33,19
1,8654,8655,28,35,18,18,33,20
0,8650,8559,36,25,30,26,38,18
0,8456,8462,35,29,32,17,28,14
2,8472,10194,26,29,22,18,24,24
2,8191,8455,22,38,20,43,15,42
2,8191,8650,22,38,20,36,25,30
2,8667,8472,18,40,17,26,29,22
0,10260,8586,40,18,40,40,22,34
2,9825,8456,51,22,41,35,29,32
2,8602,8655,17,33,19,18,33,20
2,8668,9879,26,32,22,25,20,27
0,10252,8658,29,17,35,19,18,29
0,8559,8462,26,38,18,17,28,14
0,8455,10194,43,15,42,18,24,24
2,8654,8528,28,35,18,21,39,20
2,8456,10260,35,29,32,40,18,40
2,8528,9825,21,39,20,51,22,41
0,8650,8654,36,25,30,28,35,18
2,8462,10252,17,28,14,29,17,35
2,8655,8668,18,33,20,26,32,22
2,9879,8602,25,20,27,17,33,19
1,10194,8559,18,24,24,26,38,18
0,8658,8667,19,18,29,18,40,17
2,8472,8191,26,29,22,22,38,20
2,8586,8455,40,22,34,43,15,42
2,8667,8650,18,40,17,36,25,30
2,8191,8586,22,38,20,40,22,34
2,8455,8528,43,15,42,21,39,20
2,8602,8472,17,33,19,26,29,22
0,10260,10194,40,18,40,18,24,24
0,8668,8462,26,32,22,17,28,14
2,8654,8456,28,35,18,35,29,32
0,9825,9879,51,22,41,25,20,27
2,10252,8655,29,17,35,18,33,20
0,8559,8658,26,38,18,19,18,29
1,8472,10260,26,29,22,40,18,40
0,8462,8602,17,28,14,17,33,19
1,9879,8654,25,20,27,28,35,18
1,10194,8668,18,24,24,26,32,22
2,8650,8455,36,25,30,43,15,42
2,8658,8191,19,18,29,22,38,20
1,8586,8559,40,22,34,26,38,18
2,8528,8667,21,39,20,18,40,17
1,8456,10252,35,29,32,29,17,35
2,8655,9825,18,33,20,51,22,41
2,8654,10194,28,35,18,18,24,24
2,8559,10260,26,38,18,40,18,40
2,8667,9879,18,40,17,25,20,27
1,8602,8668,17,33,19,26,32,22
2,8191,8655,22,38,20,18,33,20
2,8455,10252,43,15,42,29,17,35
2,8650,8472,36,25,30,26,29,22
1,8456,8528,35,29,32,21,39,20
0,8586,8462,40,22,34,17,28,14
2,8658,9825,19,18,29,51,22,41
0,8528,8191,21,39,20,22,38,20
2,8655,8455,18,33,20,43,15,42
2,8668,8559,26,32,22,26,38,18
2,8472,8658,26,29,22,19,18,29
0,10194,8586,18,24,24,40,22,34
1,9825,8654,51,22,41,28,35,18
1,10252,8602,29,17,35,17,33,19
1,8462,8667,17,28,14,18,40,17
2,10260,8650,40,18,40,36,25,30
1,9879,8456,25,20,27,35,29,32
2,8528,8462,21,39,20,17,28,14
2,8655,10260,18,33,20,40,18,40
2,8650,9879,36,25,30,25,20,27
1,10252,8668,29,17,35,26,32,22
2,8667,8191,18,40,17,22,38,20
0,8455,8559,43,15,42,26,38,18
1,8456,8658,35,29,32,19,18,29
2,8586,9825,40,22,34,51,22,41
1,8602,10194,17,33,19,18,24,24
1,8654,8472,28,35,18,26,29,22
1,9879,8528,25,20,27,21,39,20
2,10194,8667,18,24,24,18,40,17
0,9825,8602,51,22,41,17,33,19
0,8668,8654,26,32,22,28,35,18
2,8472,8586,26,29,22,40,22,34
1,8191,8456,22,38,20,35,29,32
1,8658,8650,19,18,29,36,25,30
2,8559,10252,26,38,18,29,17,35
2,8462,8655,17,28,14,18,33,20
2,10260,8455,40,18,40,43,15,42
2,9879,8658,25,20,27,19,18,29
2,9825,8472,51,22,41,26,29,22
2,8462,10194,17,28,14,18,24,24
1,10252,8191,29,17,35,22,38,20
2,8602,8455,17,33,19,43,15,42
1,8654,8667,28,35,18,18,40,17
1,8456,8650,35,29,32,36,25,30
2,8668,10260,26,32,22,40,18,40
2,8528,8586,21,39,20,40,22,34
0,8655,8559,18,33,20,26,38,18
0,10260,8462,40,18,40,17,28,14
2,8191,8654,22,38,20,28,35,18
0,8658,8602,19,18,29,17,33,19
1,8667,8456,18,40,17,35,29,32
1,8559,9879,26,38,18,25,20,27
0,8650,8668,36,25,30,26,32,22
1,10194,8655,18,24,24,18,33,20
1,8586,10252,40,22,34,29,17,35
0,8455,9825,43,15,42,51,22,41
2,8472,8528,26,29,22,21,39,20
2,8191,8462,22,38,20,17,28,14
0,10260,8654,40,18,40,28,35,18
0,8658,8528,19,18,29,21,39,20
2,8559,8602,26,38,18,17,33,19
2,8455,8456,43,15,42,35,29,32
2,8472,9879,26,29,22,25,20,27
1,8586,8668,40,22,34,26,32,22
1,8650,8655,36,25,30,18,33,20
2,8667,10252,18,40,17,29,17,35
2,10194,9825,18,24,24,51,22,41
0,10252,10260,29,17,35,40,18,40
1,8528,10194,21,39,20,18,24,24
1,8462,8472,17,28,14,26,29,22
0,8602,8586,17,33,19,40,22,34
0,9825,8650,51,22,41,36,25,30
1,8655,8667,18,33,20,18,40,17
1,8668,8455,26,32,22,43,15,42
1,9879,8191,25,20,27,22,38,20
1,8456,8559,35,29,32,26,38,18
2,8654,8658,28,35,18,19,18,29
2,8456,8586,35,29,32,40,22,34
0,10252,8472,29,17,35,26,29,22
2,9879,10194,25,20,27,18,24,24
2,8602,10260,17,33,19,40,18,40
2,8668,8667,26,32,22,18,40,17
1,9825,8191,51,22,41,22,38,20
2,8654,8559,28,35,18,26,38,18
2,8655,8658,18,33,20,19,18,29
2,8528,8650,21,39,20,36,25,30
2,8462,8455,17,28,14,43,15,42
2,8667,9825,18,40,17,51,22,41
2,8191,8602,22,38,20,17,33,19
1,8559,8528,26,38,18,21,39,20
1,8455,8654,43,15,42,28,35,18
2,8650,8462,36,25,30,17,28,14
2,8472,8456,26,29,22,35,29,32
2,10260,9879,40,18,40,25,20,27
1,8658,8668,19,18,29,26,32,22
0,8586,8655,40,22,34,18,33,20
2,10194,10252,18,24,24,29,17,35
1,8655,8528,18,33,20,21,39,20
2,8462,8654,17,28,14,28,35,18
1,8668,8472,26,32,22,26,29,22
2,10194,8456,18,24,24,35,29,32
2,8602,8650,17,33,19,36,25,30
0,10260,8667,40,18,40,18,40,17
1,8586,9879,40,22,34,25,20,27
1,8559,8191,26,38,18,22,38,20
1,8455,8658,43,15,42,19,18,29
2,10252,9825,29,17,35,51,22,41
0,8456,8602,35,29,32,17,33,19
2,8654,8586,28,35,18,40,22,34
0,8658,10194,19,18,29,18,24,24
0,9825,8462,51,22,41,17,28,14
2,8191,8668,22,38,20,26,32,22
2,9879,8455,25,20,27,43,15,42
1,8667,8559,18,40,17,26,38,18
1,8472,8655,26,29,22,18,33,20
0,8650,10252,36,25,30,29,17,35
2,8528,10260,21,39,20,40,18,40
0,10252,8528,29,17,35,21,39,20
0,8602,8654,17,33,19,28,35,18
2,8655,8456,18,33,20,35,29,32
2,8586,8650,40,22,34,36,25,30
1,8455,8667,43,15,42,18,40,17
2,8462,9879,17,28,14,25,20,27
1,10194,8191,18,24,24,22,38,20
2,8559,8472,26,38,18,26,29,22
1,10260,8658,40,18,40,19,18,29
1,8668,9825,26,32,22,51,22,41
0,8658,8462,19,18,29,17,28,14
1,8650,10194,36,25,30,18,24,24
1,8667,8586,18,40,17,40,22,34
0,8528,8602,21,39,20,17,33,19
2,8191,10260,22,38,20,40,18,40
2,8456,8668,35,29,32,26,32,22
2,8472,8455,26,29,22,43,15,42
0,9825,8559,51,22,41,26,38,18
2,9879,8655,25,20,27,18,33,20
1,8654,10252,28,35,18,29,17,35
1,8650,8602,36,25,30,17,33,19
2,9879,8586,25,20,27,40,22,34
1,8456,10194,35,29,32,18,24,24
1,8654,8462,28,35,18,17,28,14
2,8667,10260,18,40,17,40,18,40
2,8191,8559,22,38,20,26,38,18
2,8472,8668,26,29,22,26,32,22
2,8658,8455,19,18,29,43,15,42
2,8528,8655,21,39,20,18,33,20
1,9825,10252,51,22,41,29,17,35
1,8655,8654,18,33,20,28,35,18
0,8668,8528,26,32,22,21,39,20
1,10194,8472,18,24,24,26,29,22
2,8462,8456,17,28,14,35,29,32
2,8559,8650,26,38,18,36,25,30
1,8602,8667,17,33,19,18,40,17
0,10252,9879,29,17,35,25,20,27
0,8455,8191,43,15,42,22,38,20
0,10260,9825,40,18,40,51,22,41
1,8586,8658,40,22,34,19,18,29
2,8462,10260,17,28,14,40,18,40
2,8655,10194,18,33,20,18,24,24
1,8528,8472,21,39,20,26,29,22
1,10252,8586,29,17,35,40,22,34
2,8654,8191,28,35,18,22,38,20
2,9825,8455,51,22,41,43,15,42
1,9879,8559,25,20,27,26,38,18
2,8456,8667,35,29,32,18,40,17
2,8668,8650,26,32,22,36,25,30
2,8602,8658,17,33,19,19,18,29
2,8650,9825,36,25,30,51,22,41
2,8191,9879,22,38,20,25,20,27
2,8658,8654,19,18,29,28,35,18
2,8586,8602,40,22,34,17,33,19
1,10194,8528,18,24,24,21,39,20
1,8472,8462,26,29,22,17,28,14
2,8667,8655,18,40,17,18,33,20
1,10260,10252,40,18,40,29,17,35
2,8455,8668,43,15,42,26,32,22
2,8559,8456,26,38,18,35,29,32
2,8658,9879,19,18,29,25,20,27
0,10194,8462,18,24,24,17,28,14
2,8667,8654,18,40,17,28,35,18
2,8559,8655,26,38,18,18,33,20
2,10260,8668,40,18,40,26,32,22
2,8472,9825,26,29,22,51,22,41
0,8586,8528,40,22,34,21,39,20
0,8455,8602,43,15,42,17,33,19
1,8650,8456,36,25,30,35,29,32
2,8191,10252,22,38,20,29,17,35
1,9879,8472,25,20,27,26,29,22
2,8668,8586,26,32,22,40,22,34
0,9825,10194,51,22,41,18,24,24
2,8654,10260,28,35,18,40,18,40
2,8655,8650,18,33,20,36,25,30
0,10252,8667,29,17,35,18,40,17
0,8456,8455,35,29,32,43,15,42
2,8528,8658,21,39,20,19,18,29
0,8462,8191,17,28,14,22,38,20
2,8602,8559,17,33,19,26,38,18
2,8650,8528,36,25,30,21,39,20
0,8559,8654,26,38,18,28,35,18
0,8586,8456,40,22,34,35,29,32
0,8455,8462,43,15,42,17,28,14
2,8667,8668,18,40,17,26,32,22
2,8658,8655,19,18,29,18,33,20
1,8472,10252,26,29,22,29,17,35
2,8191,9825,22,38,20,51,22,41
0,10260,8602,40,18,40,17,33,19
0,10194,9879,18,24,24,25,20,27
2,8655,8586,18,33,20,40,22,34
1,8456,8472,35,29,32,26,29,22
1,10252,10194,29,17,35,18,24,24
2,9879,10260,25,20,27,40,18,40
2,8462,8650,17,28,14,36,25,30
0,9825,8667,51,22,41,18,40,17
1,8668,8658,26,32,22,19,18,29
2,8528,8559,21,39,20,26,38,18
0,8602,8191,17,33,19,22,38,20
2,8654,8455,28,35,18,43,15,42
2,8191,8528,22,38,20,21,39,20
2,8658,8472,19,18,29,26,29,22
2,8654,9825,28,35,18,51,22,41
1,8602,10252,17,33,19,29,17,35
1,8455,8655,43,15,42,18,33,20
2,8667,8462,18,40,17,17,28,14
2,8559,8668,26,38,18,26,32,22
0,8456,9879,35,29,32,25,20,27
2,8650,10260,36,25,30,40,18,40
0,8586,10194,40,22,34,18,24,24
2,8472,8650,26,29,22,36,25,30
2,8528,8456,21,39,20,35,29,32
2,8462,8586,17,28,14,40,22,34
0,10260,8559,40,18,40,26,38,18
0,10194,8654,18,24,24,28,35,18
1,8668,8602,26,32,22,17,33,19
2,9879,8667,25,20,27,18,40,17
2,10252,8455,29,17,35,43,15,42
0,8655,8191,18,33,20,22,38,20
1,9825,8658,51,22,41,19,18,29
2,8586,8472,40,22,34,26,29,22
2,8667,10194,18,40,17,18,24,24
1,8655,8462,18,33,20,17,28,14
0,8455,10260,43,15,42,40,18,40
2,8528,9879,21,39,20,25,20,27
1,8654,8668,28,35,18,26,32,22
0,8456,8191,35,29,32,22,38,20
0,10252,8559,29,17,35,26,38,18
1,8650,8658,36,25,30,19,18,29
2,8602,9825,17,33,19,51,22,41
2,8472,8654,26,29,22,28,35,18
1,10194,8602,18,24,24,17,33,19
1,8462,8528,17,28,14,21,39,20
2,9825,8586,51,22,41,40,22,34
2,8658,8456,19,18,29,35,29,32
1,9879,8650,25,20,27,36,25,30
0,8191,8667,22,38,20,18,40,17
2,8559,8455,26,38,18,43,15,42
1,10260,8655,40,18,40,18,33,20
1,8668,10252,26,32,22,29,17,35
2,9825,8528,51,22,41,21,39,20
2,8455,8586,43,15,42,40,22,34
2,8191,8472,22,38,20,26,29,22
0,8559,10194,26,38,18,18,24,24
0,10252,8462,29,17,35,17,28,14
2,8654,8650,28,35,18,36,25,30
