result,TeamID,TeamID:1,Goals,losses,Points,Goals:1,losses:1,Points:1
1,8602,9879,17,33,19,25,20,27
0,8668,8655,26,32,22,18,33,20
1,8667,8658,18,40,17,19,18,29
0,10260,8456,40,18,40,35,29,32
2,9879,8668,25,20,27,26,32,22
0,8472,8667,26,29,22,18,40,17
1,8655,8602,18,33,20,17,33,19
2,8528,8654,21,39,20,28,35,18
2,8586,10260,40,22,34,40,18,40
2,10194,8455,18,24,24,43,15,42
0,8650,8191,36,25,30,22,38,20
1,8462,8559,17,28,14,26,38,18
2,8658,10252,19,18,29,29,17,35
1,8456,9825,35,29,32,51,22,41
1,8667,8528,18,40,17,21,39,20
2,8559,8586,26,38,18,40,22,34
0,10260,8472,40,18,40,26,29,22
1,8668,10194,26,32,22,18,24,24
2,8602,8462,17,33,19,17,28,14
2,10252,8456,29,17,35,35,29,32
2,8191,8658,22,38,20,19,18,29
2,9825,8655,51,22,41,18,33,20
2,8654,9879,28,35,18,25,20,27
0,8455,8650,43,15,42,36,25,30
2,8472,8602,26,29,22,17,33,19
2,8462,8668,17,28,14,26,32,22
2,8528,8455,21,39,20,43,15,42
2,8586,8191,40,22,34,22,38,20
2,8658,8559,19,18,29,26,38,18
0,8655,10252,18,33,20,29,17,35
2,9879,9825,25,20,27,51,22,41
2,10194,10260,18,24,24,40,18,40
1,8456,8654,35,29,32,28,35,18
1,8650,8667,36,25,30,18,40,17
