result,TeamID,TeamID:1,losses,Points,,Goals:1,losses:1,Points:1
2,8472,9850,24,22,,20,28,25
1,10252,10172,36,18,,16,33,10
0,10260,9798,28,46,,21,37,10
0,10194,8659,14,28,,28,23,33
2,8455,8654,19,36,,23,27,23
2,8659,9825,23,33,,37,19,33
1,10194,10252,14,28,,15,36,18
2,8586,8668,25,33,,32,23,33
2,10261,9879,30,20,,29,34,21
0,10260,8456,28,46,,34,16,39
2,9798,8466,37,10,,25,36,17
0,8455,8472,19,36,,20,24,22
0,9850,10003,28,25,,27,23,25
0,8650,8654,26,25,,23,27,23
1,10172,8528,33,10,,19,35,15
1,8466,8455,36,17,,39,19,36
0,10252,8650,36,18,,28,26,25
2,8472,10260,24,22,,48,28,46
0,8456,10261,16,39,,23,30,20
2,8528,9850,35,15,,20,28,25
2,9879,10172,34,21,,16,33,10
0,9825,9798,19,33,,21,37,10
1,8668,10194,23,33,,18,14,28
2,10003,8586,23,25,,34,25,33
1,8654,8659,27,23,,28,23,33
2,10252,8455,36,18,,39,19,36
2,9879,8650,34,21,,28,26,25
2,9798,8456,37,10,,34,16,39
2,10172,10261,33,10,,23,30,20
0,8472,8466,24,22,,25,36,17
1,10260,10003,28,46,,27,23,25
1,10194,8586,14,28,,34,25,33
2,9850,8659,28,25,,28,23,33
0,8668,8654,23,33,,23,27,23
0,9825,8528,19,33,,19,35,15
2,8654,9825,27,23,,37,19,33
0,8586,10252,25,33,,15,36,18
2,8528,8668,35,15,,32,23,33
1,8466,9879,36,17,,29,34,21
2,10261,10260,30,20,,48,28,46
0,8455,9850,19,36,,20,28,25
0,8659,10172,23,33,,16,33,10
1,10003,9798,23,25,,21,37,10
2,8650,10194,26,25,,18,14,28
2,8456,8472,16,39,,20,24,22
2,10261,9825,30,20,,37,19,33
0,8528,10252,35,15,,15,36,18
0,8455,8668,19,36,,32,23,33
0,10003,9879,23,25,,29,34,21
2,8659,10260,23,33,,48,28,46
0,8456,9850,16,39,,20,28,25
0,8650,10172,26,25,,16,33,10
2,8654,9798,27,23,,21,37,10
1,8466,10194,36,17,,18,14,28
0,8586,8472,25,33,,20,24,22
0,10172,8455,33,10,,39,19,36
