result,TeamID,TeamID:1,Goals,losses,Points,Goals:1,losses:1,Points:1
0,8455,8602,37,24,34,21,34,17
0,8650,8602,24,15,34,21,34,17
2,8650,10172,24,15,34,18,33,17
2,9825,10172,35,26,36,18,33,17
0,9825,8602,35,26,36,21,34,17
0,8586,8602,37,20,42,21,34,17
2,8586,10172,37,20,42,18,33,17
0,8456,10172,53,16,45,18,33,17
0,10260,10172,49,17,45,18,33,17
0,10260,8602,49,17,45,21,34,17
0,8456,8602,53,16,45,21,34,17
0,8559,10172,23,42,13,18,33,17
0,8559,8602,23,42,13,21,34,17
1,8655,9879,28,41,14,20,25,20
2,8655,10003,28,41,14,18,23,20
1,8528,10003,17,37,15,18,23,20
2,8528,9879,17,37,15,20,25,20
2,10172,9879,18,33,17,20,25,20
1,10172,10003,18,33,17,18,23,20
2,8602,9879,21,34,17,20,25,20
1,8602,10003,21,34,17,18,23,20
2,9879,10003,20,25,20,18,23,20
0,10003,9879,18,23,20,20,25,20
1,8472,10003,23,22,21,18,23,20
2,8472,9879,23,22,21,20,25,20
2,8659,10003,19,27,22,18,23,20
1,8659,9879,19,27,22,20,25,20
0,9850,10003,28,34,22,18,23,20
2,9850,9879,28,34,22,20,25,20
1,10252,9879,22,24,23,20,25,20
1,10252,10003,22,24,23,18,23,20
0,8668,9879,19,22,24,20,25,20
0,8668,10003,19,22,24,18,23,20
2,10194,10003,20,30,26,18,23,20
2,10194,9879,20,30,26,20,25,20
2,10261,9879,26,25,30,20,25,20
0,10261,10003,26,25,30,18,23,20
2,8650,9879,24,15,34,20,25,20
1,8455,10003,37,24,34,18,23,20
1,8455,9879,37,24,34,20,25,20
2,8650,10003,24,15,34,18,23,20
2,9825,9879,35,26,36,20,25,20
2,9825,10003,35,26,36,18,23,20
0,8586,9879,37,20,42,20,25,20
1,8586,10003,37,20,42,18,23,20
1,8456,9879,53,16,45,20,25,20
0,10260,10003,49,17,45,18,23,20
0,10260,9879,49,17,45,20,25,20
2,8456,10003,53,16,45,18,23,20
2,8559,10003,23,42,13,18,23,20
2,8559,9879,23,42,13,20,25,20
2,8655,8472,28,41,14,23,22,21
0,8528,8472,17,37,15,23,22,21
2,10172,8472,18,33,17,23,22,21
1,8602,8472,21,34,17,23,22,21
1,9879,8472,20,25,20,23,22,21
2,10003,8472,18,23,20,23,22,21
1,8659,8472,19,27,22,23,22,21
2,9850,8472,28,34,22,23,22,21
1,10252,8472,22,24,23,23,22,21
1,8668,8472,19,22,24,23,22,21
2,10194,8472,20,30,26,23,22,21
0,10261,8472,26,25,30,23,22,21
0,8455,8472,37,24,34,23,22,21
2,8650,8472,24,15,34,23,22,21
0,9825,8472,35,26,36,23,22,21
1,8586,8472,37,20,42,23,22,21
2,8456,8472,53,16,45,23,22,21
0,10260,8472,49,17,45,23,22,21
1,8559,8472,23,42,13,23,22,21
1,8655,9850,28,41,14,28,34,22
2,8655,8659,28,41,14,19,27,22
0,8528,8659,17,37,15,19,27,22
1,8528,9850,17,37,15,28,34,22
2,8602,8659,21,34,17,19,27,22
2,10172,9850,18,33,17,28,34,22
2,8602,9850,21,34,17,28,34,22
2,10172,8659,18,33,17,19,27,22
1,9879,8659,20,25,20,19,27,22
2,10003,9850,18,23,20,28,34,22
1,9879,9850,20,25,20,28,34,22
0,10003,8659,18,23,20,19,27,22
2,8472,9850,23,22,21,28,34,22
2,8472,8659,23,22,21,19,27,22
0,8659,9850,19,27,22,28,34,22
0,9850,8659,28,34,22,19,27,22
1,10252,8659,22,24,23,19,27,22
2,10252,9850,22,24,23,28,34,22
0,8668,8659,19,22,24,19,27,22
1,8668,9850,19,22,24,28,34,22
1,10194,9850,20,30,26,28,34,22
0,10194,8659,20,30,26,19,27,22
2,10261,9850,26,25,30,28,34,22
0,10261,8659,26,25,30,19,27,22
0,8650,8659,24,15,34,19,27,22
1,8455,9850,37,24,34,28,34,22
2,8455,8659,37,24,34,19,27,22
0,8650,9850,24,15,34,28,34,22
0,9825,9850,35,26,36,28,34,22
0,9825,8659,35,26,36,19,27,22
0,8586,8659,37,20,42,19,27,22
0,8586,9850,37,20,42,28,34,22
0,10260,8659,49,17,45,19,27,22
1,8456,8659,53,16,45,19,27,22
0,10260,9850,49,17,45,28,34,22
0,8456,9850,53,16,45,28,34,22
2,8559,8659,23,42,13,19,27,22
2,8559,9850,23,42,13,28,34,22
2,8655,10252,28,41,14,22,24,23
2,8528,10252,17,37,15,22,24,23
1,8602,10252,21,34,17,22,24,23
1,10172,10252,18,33,17,22,24,23
0,10003,10252,18,23,20,22,24,23
2,9879,10252,20,25,20,22,24,23
1,8472,10252,23,22,21,22,24,23
0,8659,10252,19,27,22,22,24,23
2,9850,10252,28,34,22,22,24,23
1,8668,10252,19,22,24,22,24,23
1,10194,10252,20,30,26,22,24,23
1,10261,10252,26,25,30,22,24,23
0,8650,10252,24,15,34,22,24,23
0,8455,10252,37,24,34,22,24,23
0,9825,10252,35,26,36,22,24,23
1,8586,10252,37,20,42,22,24,23
0,10260,10252,49,17,45,22,24,23
0,8456,10252,53,16,45,22,24,23
0,8559,10252,23,42,13,22,24,23
1,8655,8668,28,41,14,19,22,24
2,8528,8668,17,37,15,19,22,24
0,10172,8668,18,33,17,19,22,24
2,8602,8668,21,34,17,19,22,24
2,10003,8668,18,23,20,19,22,24
2,9879,8668,20,25,20,19,22,24
2,8472,8668,23,22,21,19,22,24
1,9850,8668,28,34,22,19,22,24
2,8659,8668,19,27,22,19,22,24
1,10252,8668,22,24,23,19,22,24
0,10194,8668,20,30,26,19,22,24
2,10261,8668,26,25,30,19,22,24
0,8650,8668,24,15,34,19,22,24
2,8455,8668,37,24,34,19,22,24
0,9825,8668,35,26,36,19,22,24
2,8586,8668,37,20,42,19,22,24
0,10260,8668,49,17,45,19,22,24
2,8456,8668,53,16,45,19,22,24
0,8559,8668,23,42,13,19,22,24
2,8655,10194,28,41,14,20,30,26
1,8528,10194,17,37,15,20,30,26
0,10172,10194,18,33,17,20,30,26
2,8602,10194,21,34,17,20,30,26
2,9879,10194,20,25,20,20,30,26
2,10003,10194,18,23,20,20,30,26
0,8472,10194,23,22,21,20,30,26
0,8659,10194,19,27,22,20,30,26
2,9850,10194,28,34,22,20,30,26
1,10252,10194,22,24,23,20,30,26
1,8668,10194,19,22,24,20,30,26
0,10261,10194,26,25,30,20,30,26
1,8455,10194,37,24,34,20,30,26
2,8650,10194,24,15,34,20,30,26
1,9825,10194,35,26,36,20,30,26
2,8586,10194,37,20,42,20,30,26
1,10260,10194,49,17,45,20,30,26
1,8456,10194,53,16,45,20,30,26
1,8559,10194,23,42,13,20,30,26
2,8655,10261,28,41,14,26,25,30
2,8528,10261,17,37,15,26,25,30
2,10172,10261,18,33,17,26,25,30
1,8602,10261,21,34,17,26,25,30
2,9879,10261,20,25,20,26,25,30
1,10003,10261,18,23,20,26,25,30
1,8472,10261,23,22,21,26,25,30
0,8659,10261,19,27,22,26,25,30
2,9850,10261,28,34,22,26,25,30
2,10252,10261,22,24,23,26,25,30
2,8668,10261,19,22,24,26,25,30
2,10194,10261,20,30,26,26,25,30
0,8455,10261,37,24,34,26,25,30
2,8650,10261,24,15,34,26,25,30
1,9825,10261,35,26,36,26,25,30
1,8586,10261,37,20,42,26,25,30
2,10260,10261,49,17,45,26,25,30
0,8456,10261,53,16,45,26,25,30
2,8559,10261,23,42,13,26,25,30
1,8655,8650,28,41,14,24,15,34
2,8655,8455,28,41,14,37,24,34
0,8528,8650,17,37,15,24,15,34
2,8528,8455,17,37,15,37,24,34
2,8602,8650,21,34,17,24,15,34
2,8602,8455,21,34,17,37,24,34
2,10172,8650,18,33,17,24,15,34
2,10172,8455,18,33,17,37,24,34
2,10003,8455,18,23,20,37,24,34
1,10003,8650,18,23,20,24,15,34
1,9879,8455,20,25,20,37,24,34
0,9879,8650,20,25,20,24,15,34
1,8472,8650,23,22,21,24,15,34
2,8472,8455,23,22,21,37,24,34
2,8659,8455,19,27,22,37,24,34
2,9850,8455,28,34,22,37,24,34
1,9850,8650,28,34,22,24,15,34
0,8659,8650,19,27,22,24,15,34
0,10252,8455,22,24,23,37,24,34
1,10252,8650,22,24,23,24,15,34
2,8668,8455,19,22,24,37,24,34
2,8668,8650,19,22,24,24,15,34
1,10194,8650,20,30,26,24,15,34
2,10194,8455,20,30,26,37,24,34
2,10261,8650,26,25,30,24,15,34
0,10261,8455,26,25,30,37,24,34
0,8650,8455,24,15,34,37,24,34
2,8455,8650,37,24,34,24,15,34
0,9825,8455,35,26,36,37,24,34
0,9825,8650,35,26,36,24,15,34
1,8586,8650,37,20,42,24,15,34
1,8586,8455,37,20,42,37,24,34
1,10260,8650,49,17,45,24,15,34
1,8456,8650,53,16,45,24,15,34
2,8456,8455,53,16,45,37,24,34
1,10260,8455,49,17,45,37,24,34
2,8559,8650,23,42,13,24,15,34
2,8559,8455,23,42,13,37,24,34
2,8655,9825,28,41,14,35,26,36
0,8528,9825,17,37,15,35,26,36
1,8602,9825,21,34,17,35,26,36
2,10172,9825,18,33,17,35,26,36
2,10003,9825,18,23,20,35,26,36
1,9879,9825,20,25,20,35,26,36
2,8472,9825,23,22,21,35,26,36
2,8659,9825,19,27,22,35,26,36
1,9850,9825,28,34,22,35,26,36
2,10252,9825,22,24,23,35,26,36
2,8668,9825,19,22,24,35,26,36
2,10194,9825,20,30,26,35,26,36
2,10261,9825,26,25,30,35,26,36
0,8650,9825,24,15,34,35,26,36
1,8455,9825,37,24,34,35,26,36
2,8586,9825,37,20,42,35,26,36
0,10260,9825,49,17,45,35,26,36
2,8456,9825,53,16,45,35,26,36
2,8559,9825,23,42,13,35,26,36
2,8655,8586,28,41,14,37,20,42
2,8528,8586,17,37,15,37,20,42
2,10172,8586,18,33,17,37,20,42
1,8602,8586,21,34,17,37,20,42
2,10003,8586,18,23,20,37,20,42
2,9879,8586,20,25,20,37,20,42
2,8472,8586,23,22,21,37,20,42
2,8659,8586,19,27,22,37,20,42
0,9850,8586,28,34,22,37,20,42
2,10252,8586,22,24,23,37,20,42
2,8668,8586,19,22,24,37,20,42
1,10194,8586,20,30,26,37,20,42
2,10261,8586,26,25,30,37,20,42
2,8650,8586,24,15,34,37,20,42
1,8455,8586,37,24,34,37,20,42
2,9825,8586,35,26,36,37,20,42
0,8456,8586,53,16,45,37,20,42
0,10260,8586,49,17,45,37,20,42
2,8559,8586,23,42,13,37,20,42
0,8655,10260,28,41,14,49,17,45
2,8655,8456,28,41,14,53,16,45
2,8528,8456,17,37,15,53,16,45
2,8528,10260,17,37,15,49,17,45
2,8602,8456,21,34,17,53,16,45
2,8602,10260,21,34,17,49,17,45
2,10172,10260,18,33,17,49,17,45
2,10172,8456,18,33,17,53,16,45
2,10003,8456,18,23,20,53,16,45
2,9879,8456,20,25,20,53,16,45
2,9879,10260,20,25,20,49,17,45
2,10003,10260,18,23,20,49,17,45
2,8472,10260,23,22,21,49,17,45
1,8472,8456,23,22,21,53,16,45
2,9850,10260,28,34,22,49,17,45
2,9850,8456,28,34,22,53,16,45
2,8659,10260,19,27,22,49,17,45
2,8659,8456,19,27,22,53,16,45
2,10252,8456,22,24,23,53,16,45
2,10252,10260,22,24,23,49,17,45
2,8668,8456,19,22,24,53,16,45
1,8668,10260,19,22,24,49,17,45
2,10194,8456,20,30,26,53,16,45
2,10194,10260,20,30,26,49,17,45
2,10261,8456,26,25,30,53,16,45
1,10261,10260,26,25,30,49,17,45
2,8455,10260,37,24,34,49,17,45
2,8650,8456,24,15,34,53,16,45
2,8650,10260,24,15,34,49,17,45
2,8455,8456,37,24,34,53,16,45
2,9825,10260,35,26,36,49,17,45
2,9825,8456,35,26,36,53,16,45
2,8586,10260,37,20,42,49,17,45
2,8586,8456,37,20,42,53,16,45
0,8456,10260,53,16,45,49,17,45
2,10260,8456,49,17,45,53,16,45
2,8559,10260,23,42,13,49,17,45
2,8559,8456,23,42,13,53,16,45
2,8655,8559,28,41,14,23,42,13
0,8528,8559,17,37,15,23,42,13
1,8602,8559,21,34,17,23,42,13
2,10172,8559,18,33,17,23,42,13
0,9879,8559,20,25,20,23,42,13
1,10003,8559,18,23,20,23,42,13
0,8472,8559,23,22,21,23,42,13
0,9850,8559,28,34,22,23,42,13
1,8659,8559,19,27,22,23,42,13
0,10252,8559,22,24,23,23,42,13
0,8668,8559,19,22,24,23,42,13
2,10194,8559,20,30,26,23,42,13
0,10261,8559,26,25,30,23,42,13
0,8455,8559,37,24,34,23,42,13
2,8650,8559,24,15,34,23,42,13
1,9825,8559,35,26,36,23,42,13
0,8586,8559,37,20,42,23,42,13
0,8456,8559,53,16,45,23,42,13
0,10260,8559,49,17,45,23,42,13
