result,TeamID,TeamID:1,Goals,losses,Points,Goals:1,losses:1,Points:1
0,8528,8655,17,37,15,28,41,14
0,8602,8655,21,34,17,28,41,14
2,10172,8655,18,33,17,28,41,14
2,10003,8655,18,23,20,28,41,14
2,9879,8655,20,25,20,28,41,14
2,8472,8655,23,22,21,28,41,14
0,8659,8655,19,27,22,28,41,14
2,9850,8655,28,34,22,28,41,14
1,10252,8655,22,24,23,28,41,14
0,8668,8655,19,22,24,28,41,14
0,10194,8655,20,30,26,28,41,14
0,10261,8655,26,25,30,28,41,14
0,8455,8655,37,24,34,28,41,14
0,8650,8655,24,15,34,28,41,14
2,9825,8655,35,26,36,28,41,14
0,8586,8655,37,20,42,28,41,14
0,8456,8655,53,16,45,28,41,14
0,10260,8655,49,17,45,28,41,14
0,8559,8655,23,42,13,28,41,14
1,8655,8528,28,41,14,17,37,15
2,10172,8528,18,33,17,17,37,15
2,8602,8528,21,34,17,17,37,15
0,9879,8528,20,25,20,17,37,15
0,10003,8528,18,23,20,17,37,15
0,8472,8528,23,22,21,17,37,15
1,9850,8528,28,34,22,17,37,15
1,8659,8528,19,27,22,17,37,15
1,10252,8528,22,24,23,17,37,15
1,8668,8528,19,22,24,17,37,15
2,10194,8528,20,30,26,17,37,15
2,10261,8528,26,25,30,17,37,15
1,8455,8528,37,24,34,17,37,15
1,8650,8528,24,15,34,17,37,15
0,9825,8528,35,26,36,17,37,15
0,8586,8528,37,20,42,17,37,15
0,8456,8528,53,16,45,17,37,15
2,10260,8528,49,17,45,17,37,15
0,8559,8528,23,42,13,17,37,15
1,8655,10172,28,41,14,18,33,17
0,8655,8602,28,41,14,21,34,17
2,8528,8602,17,37,15,21,34,17
2,8528,10172,17,37,15,18,33,17
0,10172,8602,18,33,17,21,34,17
0,8602,10172,21,34,17,18,33,17
2,9879,8602,20,25,20,21,34,17
1,10003,8602,18,23,20,21,34,17
0,9879,10172,20,25,20,18,33,17
2,10003,10172,18,23,20,18,33,17
2,8472,8602,23,22,21,21,34,17
0,8472,10172,23,22,21,18,33,17
1,8659,10172,19,27,22,18,33,17
1,9850,8602,28,34,22,21,34,17
0,9850,10172,28,34,22,18,33,17
0,8659,8602,19,27,22,21,34,17
1,10252,10172,22,24,23,18,33,17
0,10252,8602,22,24,23,21,34,17
1,8668,10172,19,22,24,18,33,17
1,8668,8602,19,22,24,21,34,17
0,10194,8602,20,30,26,21,34,17
2,10194,10172,20,30,26,18,33,17
1,10261,10172,26,25,30,18,33,17
0,10261,8602,26,25,30,21,34,17
2,8455,10172,37,24,34,18,33,17
