result,TeamID,TeamID:1,Goals,losses,Points,Goals:1,losses:1,Points:1
0,8654,9825,28,23,29,33,18,39
0,10252,8678,15,34,8,22,34,20
1,10003,8455,16,24,19,23,29,20
1,9817,8668,24,20,29,35,28,26
2,8472,8197,19,38,12,37,25,39
2,8586,10260,33,15,35,22,16,30
1,8466,10261,26,23,24,19,34,17
0,9826,9850,23,16,31,22,32,20
0,8650,10194,22,22,30,20,19,29
0,8456,8659,37,20,36,18,24,23
0,10260,10252,22,16,30,15,34,8
0,9825,9826,33,18,39,23,16,31
2,8678,8650,22,34,20,22,22,30
2,8455,8456,23,29,20,37,20,36
0,8668,8466,35,28,26,26,23,24
0,9850,8472,22,32,20,19,38,12
2,10261,10003,19,34,17,16,24,19
1,10194,8586,20,19,29,33,15,35
1,8659,9817,18,24,23,24,20,29
0,8197,8654,37,25,39,28,23,29
1,8650,9825,22,22,30,33,18,39
2,10252,9826,15,34,8,23,16,31
0,8456,8668,37,20,36,35,28,26
1,8586,8197,33,15,35,37,25,39
1,10261,10260,19,34,17,22,16,30
1,10194,9850,20,19,29,22,32,20
1,10003,8472,16,24,19,19,38,12
1,8466,9817,26,23,24,24,20,29
0,8455,8659,23,29,20,18,24,23
0,8678,8654,22,34,20,28,23,29
1,8472,10252,19,38,12,15,34,8
1,8197,8678,37,25,39,22,34,20
0,9826,8455,23,16,31,23,29,20
0,8654,8650,28,23,29,22,22,30
2,9817,8456,24,20,29,37,20,36
0,9825,10261,33,18,39,19,34,17
2,9850,8466,22,32,20,26,23,24
0,8659,10194,18,24,23,20,19,29
2,10260,10003,22,16,30,16,24,19
1,8668,8586,35,28,26,33,15,35
2,10194,9825,20,19,29,33,18,39
0,8456,9826,37,20,36,23,16,31
2,8455,8668,23,29,20,35,28,26
2,10252,8197,15,34,8,37,25,39
2,8650,10260,22,22,30,22,16,30
2,8678,9850,22,34,20,22,32,20
0,8586,8472,33,15,35,19,38,12
2,10003,9817,16,24,19,24,20,29
1,8466,8659,26,23,24,18,24,23
2,10261,8654,19,34,17,28,23,29
0,8659,10252,18,24,23,15,34,8
2,8472,8678,19,38,12,22,34,20
2,9825,8455,33,18,39,23,29,20
1,9850,8650,22,32,20,22,22,30
0,8654,8456,28,23,29,37,20,36
0,9817,10261,24,20,29,19,34,17
0,10260,8466,22,16,30,26,23,24
1,8197,10194,37,25,39,20,19,29
1,8668,10003,35,28,26,16,24,19
2,9826,8586,23,16,31,33,15,35
0,9825,8197,33,18,39,37,25,39
2,10252,8650,15,34,8,22,22,30
2,8472,10260,19,38,12,22,16,30
1,8455,10261,23,29,20,19,34,17
2,10003,8466,16,24,19,26,23,24
2,8678,10194,22,34,20,20,19,29
2,8456,8586,37,20,36,33,15,35
0,9826,9817,23,16,31,24,20,29
0,8668,8659,35,28,26,18,24,23
1,9850,8654,22,32,20,28,23,29
2,10260,9825,22,16,30,33,18,39
0,10194,10252,20,19,29,15,34,8
1,9817,8678,24,20,29,22,34,20
0,8466,8455,26,23,24,23,29,20
2,8659,9826,18,24,23,23,16,31
1,8650,8668,22,22,30,35,28,26
2,10261,8456,19,34,17,37,20,36
0,8197,9850,37,25,39,22,32,20
1,8654,8472,28,23,29,19,38,12
1,8586,10003,33,15,35,16,24,19
2,10252,8455,15,34,8,23,29,20
0,8654,9826,28,23,29,23,16,31
0,10260,8668,22,16,30,35,28,26
2,8678,8456,22,34,20,37,20,36
2,9850,10261,22,32,20,19,34,17
1,8197,8466,37,25,39,26,23,24
0,10194,10003,20,19,29,16,24,19
1,8650,8586,22,22,30,33,15,35
0,9825,9817,33,18,39,24,20,29
2,8472,8659,19,38,12,18,24,23
2,8668,9825,35,28,26,33,18,39
0,10003,10252,16,24,19,15,34,8
0,8586,8678,33,15,35,22,34,20
2,9826,8197,23,16,31,37,25,39
1,8466,8650,26,23,24,22,22,30
1,8456,10260,37,20,36,22,16,30
0,8659,9850,18,24,23,22,32,20
0,9817,10194,24,20,29,20,19,29
2,10261,8472,19,34,17,19,38,12
2,8455,8654,23,29,20,28,23,29
0,8650,8455,22,22,30,23,29,20
1,10260,9826,22,16,30,23,16,31
2,8472,8668,19,38,12,35,28,26
2,9850,8456,22,32,20,37,20,36
1,10194,10261,20,19,29,19,34,17
2,8678,8466,22,34,20,26,23,24
0,9825,10003,33,18,39,16,24,19
2,10252,8586,15,34,8,33,15,35
2,8654,9817,28,23,29,24,20,29
0,8197,8659,37,25,39,18,24,23
1,8586,9825,33,15,35,33,18,39
1,8456,10252,37,20,36,15,34,8
0,10261,8678,19,34,17,22,34,20
2,9817,8197,24,20,29,37,25,39
0,9826,8650,23,16,31,22,22,30
2,8659,10260,18,24,23,22,16,30
2,10003,9850,16,24,19,22,32,20
2,8455,10194,23,29,20,20,19,29
0,8466,8472,26,23,24,19,38,12
1,8668,8654,35,28,26,28,23,29
2,9850,8455,22,32,20,23,29,20
0,8472,9826,19,38,12,23,16,31
2,10252,8668,15,34,8,35,28,26
0,8650,8456,22,22,30,37,20,36
0,8197,10261,37,25,39,19,34,17
0,10194,8466,20,19,29,26,23,24
1,8678,10003,22,34,20,16,24,19
2,8654,8586,28,23,29,33,15,35
0,10260,9817,22,16,30,24,20,29
2,9825,8659,33,18,39,18,24,23
0,9817,10252,24,20,29,15,34,8
1,8668,8678,35,28,26,22,34,20
2,10261,9826,19,34,17,23,16,31
1,10260,8197,22,16,30,37,25,39
2,10003,8650,16,24,19,22,22,30
2,8466,8456,26,23,24,37,20,36
1,9825,9850,33,18,39,22,32,20
2,10194,8472,20,19,29,19,38,12
1,8455,8586,23,29,20,33,15,35
1,8659,8654,18,24,23,28,23,29
2,8472,9825,19,38,12,33,18,39
0,8678,8455,22,34,20,23,29,20
1,9826,8668,23,16,31,35,28,26
1,8654,10260,28,23,29,22,16,30
2,8650,10261,22,22,30,19,34,17
1,10252,8466,15,34,8,26,23,24
2,8456,10194,37,20,36,20,19,29
